Element,Incentive 1,Incentive 2,Incentive 3,Incentive 4,Incentive 5,Incentive 6,Incentive 7,Incentive 8,Incentive 9,Incentive 10,Incentive 11,Incentive 12,Incentive 13,Incentive 14,Incentive 15,Incentive 16,Incentive 17,Incentive 18,Incentive 19,Incentive 20,Incentive 21,Incentive 22,Incentive 23,Incentive 24
1224,-0.189816631,-0.152196086,-0.003431305,-0.008540011,7.99E-15,-0.189816631,6.71E-13,6.71E-13,-0.25431479,-0.050787803,-0.108796662,-0.134193301,-0.310289353,-0.308878297,-0.01758786,-0.126166326,-0.041119152,-0.258350013,-0.000906639,-0.98673703,-4.84E-13,-4.84E-13,-0.330791796,-0.294091242
1225,-0.210089321,-0.168450848,-0.003766927,-0.009946021,1.43E-12,-0.210089321,6.34E-13,6.34E-13,-0.222424332,-0.044046602,-0.09435579,-0.116918529,-0.272404916,-0.268626442,-0.015253376,-0.139641072,-0.035661297,-0.226887564,-0.000786298,-0.842918898,2.05E-12,2.05E-12,-0.288780394,-0.270377665
1226,-0.121517319,-0.097433298,-0.003902238,-0.010448672,8.52E-12,-0.121517319,8.34E-12,8.34E-12,-0.103487505,-0.042857045,-0.057832776,-0.053207695,-0.139288054,-0.153890311,-0.012206737,-0.080769496,-0.035160248,-0.119292396,-0.000802667,-0.474498258,8.58E-12,8.58E-12,-0.153890311,-0.522739551
1227,-0.321420246,-0.257716635,-0.007656422,-0.01977267,9.58E-12,-0.321420246,9.79E-12,9.79E-12,-0.214300121,-0.051006282,-0.107971906,-0.102796653,-0.304563831,-0.297661373,-0.017663519,-0.213639929,-0.041296038,-0.256918724,-0.000910539,-0.822097349,4.73E-11,4.73E-11,-0.31938568,-0.406924058
1228,-0.270448707,-0.21559439,-0.009479342,-0.024681286,-5.12E-12,-0.270448707,-5.78E-12,-5.78E-12,-0.077441106,-0.041057295,-0.037794106,-0.036269573,-0.106695828,-0.119432362,-0.009212883,-0.177640535,-0.033060639,-0.091139081,-0.000832057,-0.415020903,-5.78E-12,-5.78E-12,-0.119432362,-0.535409227
1229,-0.367970645,-0.295041017,-0.006606625,-0.016748874,8.07E-11,-0.367970645,7.95E-11,7.95E-11,-0.169180583,-0.047680311,-0.097761521,-0.105516032,-0.203285216,-0.22001402,-0.016511733,-0.244580805,-0.038603244,-0.167847783,-0.000851165,-0.935828411,8.05E-11,8.05E-11,-0.22001402,-0.213668757
1230,-0.530072874,-0.425015534,-0.013984125,-0.039277066,-1.01E-12,-0.530072874,8.66E-12,8.66E-12,-0.113394281,-0.042387445,-0.066759909,-0.065140756,-0.139491325,-0.152256698,-0.014678808,-0.345001009,-0.034317999,-0.116566316,-0.00075668,-0.67042872,9.32E-12,9.32E-12,-0.152256698,-0.393336623
1231,-0.871774282,-0.698993724,-0.015321564,-0.038793994,2.39E-12,-0.871774282,1.66E-13,1.66E-13,-0.056148064,-0.041955835,-0.034850761,-0.034850761,-0.067655904,-0.073353908,-0.01417796,-0.530297467,-0.033968557,-0.055301043,-0.000748975,-0.847507876,-9.00E-13,-9.00E-13,-0.073353908,-0.149612061
1232,-0.847331499,-0.679395358,-0.01913268,-0.051400539,1.69E-12,-0.847331499,4.98E-12,4.98E-12,-0.12760963,-0.042103326,-0.07831285,-0.07887869,-0.153867235,-0.166764952,-0.014580418,-0.417194812,-0.034087969,-0.126999727,-0.000751608,-0.824916086,-1.96E-11,-1.96E-11,-0.166764952,-0.228295369
1233,-0.433770745,-0.347799923,-0.010222124,-0.026549828,6.32E-13,-0.433770745,-4.27E-12,-4.27E-12,-0.127099496,-0.044950606,-0.075991351,-0.075522489,-0.155227955,-0.169002917,-0.015566433,-0.288316472,-0.036393203,-0.129197664,-0.000802436,-0.754956716,1.30E-11,1.30E-11,-0.169002917,-0.361623429
1234,-0.27294439,-0.21884841,-0.006315455,-0.016513473,3.75E-12,-0.27294439,4.38E-10,4.38E-10,-0.178115162,-0.046061122,-0.093689756,-0.092676465,-0.222876414,-0.237800739,-0.015951006,-0.181419251,-0.037292306,-0.18656078,-0.00082226,-0.770477763,5.61E-12,5.61E-12,-0.241948845,-0.347000325
1235,-0.32829819,-0.263231411,-0.005065242,-0.013973389,6.08E-11,-0.32829819,6.02E-11,6.02E-11,-0.260402637,-0.041037811,-0.087910416,-0.132684694,-0.315034921,-0.270160928,-0.014211429,-0.218211525,-0.0332253,-0.261100843,-0.000732587,-0.828963788,5.94E-11,5.94E-11,-0.311224392,-0.1275897
